Id,Stars,Rank,Level,Awakened,Pi,Role
"captainmarvel",5,1,1,0,0,
"captainmarvelmovie",5,1,1,0,0,
"corvusglaive",5,1,1,0,0,
"drax",5,1,1,0,0,
"grootking",5,1,1,0,0,
"heimdall",5,1,1,0,0,
"hela",5,1,1,0,0,
"hyperion",5,1,1,0,0,
"medusa",5,1,1,0,0,
"nova",5,1,1,0,0,
"ronan",5,1,1,0,0,
"silversurfer",5,1,1,0,0,
"superiorironman",5,1,1,0,0,
"venom",5,1,1,0,0,
"venompool",5,1,1,0,0,
"civilwarrior",5,1,1,0,0,
"ghost",5,1,1,0,0,
"greengoblin",5,1,1,0,0,
"hulkbuster",5,1,1,0,0,
"ironman",5,1,1,0,0,
"ironmaniw",5,1,1,0,0,
"nebula",5,1,1,0,0,
"punisher2099",5,1,1,0,0,
"sentinel",5,1,1,0,0,
"spidermanmovie",5,1,1,0,0,
"starlord",5,1,1,0,0,
"beast",5,1,1,0,0,
"bishop",5,1,1,0,0,
"cable",5,1,1,0,0,
"colossus",5,1,1,0,0,
"gambit",5,1,1,0,0,
"magneto",5,1,1,0,0,
"mistersinister",5,1,1,0,0,
"nightcrawler",5,1,1,0,0,
"rogue",5,1,1,0,0,
"sabretooth",5,1,1,0,0,
"storm",5,1,1,0,0,
"sunspot",5,1,1,0,0,
"x23",5,1,1,0,0,
"blackpanthercivilwar",5,1,1,0,0,
"blackwidow",5,1,1,0,0,
"daredevilnetflix",5,1,1,0,0,
"falcon",5,1,1,0,0,
"gwenpool",5,1,1,0,0,
"hawkeye",5,1,1,0,0,
"karnak",5,1,1,0,0,
"korg",5,1,1,0,0,
"taskmaster",5,1,1,0,0,
"wintersoldier",5,1,1,0,0,
"antman",5,1,1,0,0,
"capamericaiw",5,1,1,0,0,
"hulk",5,1,1,0,0,
"hulkimmortal",5,1,1,0,0,
"hulkragnarok",5,1,1,0,0,
"humantorch",5,1,1,0,0,
"quake",5,1,1,0,0,
"spiderman",5,1,1,0,0,
"spidermanmorales",5,1,1,0,0,
"void",5,1,1,0,0,
"yellowjacket",5,1,1,0,0,
"blackwidowclaire",5,1,1,0,0,
"guillotine",5,1,1,0,0,
"hood",5,1,1,0,0,
"ironfist",5,1,1,0,0,
"longshot",5,1,1,0,0,
"magik",5,1,1,0,0,
"morningstar",5,1,1,0,0,
"thorjanefoster",5,1,1,0,0,
"tigra",5,1,1,0,0,
"captainmarvel",6,1,1,0,0,
"nightcrawler",6,1,1,0,0,
"professorx",6,1,1,0,0,
"stormpyramidx",6,1,1,0,0,
"mrfantastic",6,1,1,0,0,
"yellowjacket",6,1,1,0,0,
